Time, Motor A Speed, Motor A Dir, Motor B Speed, Motor B Dir, Servo Rail Current Sensor, Servo Pos - Arm L, Servo Pos - Arm R, Servo Pos - End, Servo Pos - Hopper, Servo Pos - Lid, Servo Pos - Extra, Servo Current, LED - Front L, LED - Front R, LED - Back L, LED - Back R, IMU Pitch, IMU Roll, IMU Yaw, Compass Heading, GPS Sats, GPS Latitude, GPS Longitude, GPS Altitude, GPS Speed, GPS Angle, GPS HDOP, GPS VDOP, GPS PDOP, Battery, Wind, Comm Xbee Latency, Comm Arduino Latency, Pressure, Humidity, Temperature, uRADMonitor
12:10:06,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,7.00,38.4063377,-110.7922668,1350.5999756,0.0,68.1,1.1,0.0,0.0,898,127,0,0,859.88,7.26,34.15,0
12:10:07,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,7.00,38.4063377,-110.7922668,1350.5999756,0.0,72.8,1.1,0.0,0.0,898,127,0,0,859.90,7.25,34.16,0
12:10:08,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,7.00,38.4063377,-110.7922668,1350.5999756,0.0,105.2,1.1,0.0,0.0,897,126,0,0,859.89,7.23,34.16,0
12:10:09,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,7.00,38.4063377,-110.7922668,1350.5999756,0.0,108.2,1.1,0.0,0.0,897,128,0,0,859.90,7.22,34.17,0
12:10:10,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,7.00,38.4063377,-110.7922668,1350.5999756,0.0,57.1,1.1,0.0,0.0,898,126,0,0,859.91,7.22,34.17,0
12:10:11,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,7.00,38.4063377,-110.7922668,1350.5999756,0.0,124.6,1.1,0.0,0.0,898,124,0,0,859.83,7.19,34.16,0
12:10:12,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,7.00,38.4063377,-110.7922668,1350.5999756,0.1,75.7,1.1,0.0,0.0,898,128,0,0,859.88,7.17,34.16,0
12:10:13,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,7.00,38.4063377,-110.7922668,1350.5999756,0.0,148.1,1.1,0.0,0.0,897,128,0,0,859.85,7.20,34.15,0
12:10:14,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,7.00,38.4063377,-110.7922668,1350.5999756,0.0,143.0,1.1,0.0,0.0,897,128,0,0,859.84,7.20,34.16,0
12:10:15,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,7.00,38.4063377,-110.7922668,1350.5999756,0.0,155.1,1.1,0.0,0.0,897,131,0,0,859.88,7.20,34.15,0
