Time, Motor A Speed, Motor A Dir, Motor B Speed, Motor B Dir, Servo Rail Current Sensor, Servo Pos - Arm L, Servo Pos - Arm R, Servo Pos - End, Servo Pos - Hopper, Servo Pos - Lid, Servo Pos - Extra, Servo Current, LED - Front L, LED - Front R, LED - Back L, LED - Back R, IMU Pitch, IMU Roll, IMU Yaw, Compass Heading, GPS Sats, GPS Latitude, GPS Longitude, GPS Altitude, GPS Speed, GPS Angle, GPS HDOP, GPS VDOP, GPS PDOP, Battery, Wind, Comm Xbee Latency, Comm Arduino Latency, Pressure, Humidity, Temperature, uRADMonitor
11:55:07,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4063301,-110.7922592,1360.3000488,0.4,343.5,1.0,0.0,0.0,899,128,0,0,860.26,3.40,40.23,0
11:55:08,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4063339,-110.7922592,1360.1999512,0.3,5.3,0.9,0.0,0.0,899,128,0,0,860.25,3.43,40.21,0
11:55:09,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4063339,-110.7922592,1360.0999756,0.3,26.9,1.0,0.0,0.0,899,121,0,0,860.26,3.43,40.17,0
11:55:10,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4063377,-110.7922592,1360.0000000,0.4,6.2,0.9,0.0,0.0,899,132,0,0,860.27,3.48,40.12,0
11:55:11,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4063377,-110.7922592,1359.9000244,0.5,19.5,1.0,0.0,0.0,899,128,0,0,860.23,3.48,40.08,0
11:55:12,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4063377,-110.7922592,1359.8000488,0.5,17.6,0.9,0.0,0.0,899,128,0,0,860.22,3.51,40.06,0
11:55:13,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4063416,-110.7922440,1359.8000488,0.4,351.0,0.9,0.0,0.0,899,124,0,0,860.26,3.48,40.04,0
11:55:14,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4063416,-110.7922440,1359.6999512,0.5,352.8,1.0,0.0,0.0,899,125,0,0,860.30,3.49,40.01,0
11:55:15,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4063454,-110.7922592,1359.6999512,0.7,343.0,1.0,0.0,0.0,899,125,0,0,860.29,3.53,39.97,0
11:55:16,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,8.00,38.4063644,-110.7922592,1358.9000244,0.7,346.1,0.9,0.0,0.0,899,129,0,0,860.28,3.53,39.93,0
