Time, Motor A Speed, Motor A Dir, Motor B Speed, Motor B Dir, Servo Rail Current Sensor, Servo Pos - Arm L, Servo Pos - Arm R, Servo Pos - End, Servo Pos - Hopper, Servo Pos - Lid, Servo Pos - Extra, Servo Current, LED - Front L, LED - Front R, LED - Back L, LED - Back R, IMU Pitch, IMU Roll, IMU Yaw, Compass Heading, GPS Sats, GPS Latitude, GPS Longitude, GPS Altitude, GPS Speed, GPS Angle, GPS HDOP, GPS VDOP, GPS PDOP, Battery, Wind, Comm Xbee Latency, Comm Arduino Latency, Pressure, Humidity, Temperature, uRADMonitor
13:47:00,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.6999512,0.0,350.0,0.8,0.0,0.0,907,128,0,0,855.99,7.16,29.41,0
13:47:01,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.6999512,0.0,70.3,0.8,0.0,0.0,907,127,0,0,855.84,7.16,29.40,0
13:47:02,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.6999512,0.0,51.1,0.8,0.0,0.0,908,124,0,0,855.69,7.14,29.40,0
13:47:03,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.6999512,0.0,240.1,0.8,0.0,0.0,907,130,0,0,855.62,7.16,29.40,0
13:47:04,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.6999512,0.0,109.9,0.8,0.0,0.0,908,129,0,0,855.68,7.14,29.39,0
13:47:05,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.6999512,0.0,120.3,0.8,0.0,0.0,907,127,0,0,855.65,7.16,29.39,0
13:47:06,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.6999512,0.1,102.0,0.8,0.0,0.0,907,129,0,0,855.72,7.14,29.39,0
13:47:07,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.6999512,0.0,86.1,0.8,0.0,0.0,907,129,0,0,855.86,7.16,29.39,0
13:47:08,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.6999512,0.0,95.4,0.8,0.0,0.0,908,129,0,0,855.61,7.17,29.39,0
13:47:09,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.6999512,0.0,86.3,0.8,0.0,0.0,907,127,0,0,855.81,7.19,29.38,0
13:47:10,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.6999512,0.0,129.6,0.8,0.0,0.0,908,129,0,0,855.93,7.17,29.38,0
13:47:11,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,223.5,0.8,0.0,0.0,908,129,0,0,855.77,7.19,29.38,0
13:47:12,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,160.8,0.8,0.0,0.0,907,128,0,0,855.78,7.19,29.38,0
13:47:13,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,180.4,0.8,0.0,0.0,907,127,0,0,855.88,7.14,29.39,0
13:47:14,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,186.8,0.8,0.0,0.0,907,127,0,0,855.51,7.11,29.40,0
13:47:15,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,209.0,0.8,0.0,0.0,907,129,0,0,855.54,7.08,29.41,0
13:47:16,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,338.6,0.8,0.0,0.0,907,131,0,0,855.65,7.10,29.40,0
13:47:17,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,352.8,0.8,0.0,0.0,907,128,0,0,855.67,7.10,29.41,0
13:47:18,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,66.4,0.8,0.0,0.0,907,129,0,0,855.76,7.11,29.39,0
13:47:19,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,13.8,0.8,0.0,0.0,907,131,0,0,855.93,7.13,29.39,0
13:47:20,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,336.5,0.8,0.0,0.0,907,128,0,0,855.85,7.11,29.39,0
13:47:21,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,352.6,0.8,0.0,0.0,907,131,0,0,856.08,7.16,29.39,0
13:47:22,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,330.5,0.8,0.0,0.0,907,129,0,0,856.01,7.16,29.38,0
13:47:23,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,313.1,0.8,0.0,0.0,907,128,0,0,855.93,7.16,29.37,0
13:47:24,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,218.2,0.8,0.0,0.0,907,126,0,0,855.84,7.16,29.37,0
13:47:25,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.8000488,0.0,24.3,0.8,0.0,0.0,907,127,0,0,855.88,7.19,29.37,0
13:47:26,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.9000244,0.0,199.0,0.8,0.0,0.0,907,128,0,0,855.79,7.19,29.37,0
13:47:27,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.9000244,0.0,334.7,0.8,0.0,0.0,907,128,0,0,855.73,7.14,29.29,0
13:47:28,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.9000244,0.0,40.2,0.8,0.0,0.0,906,130,0,0,855.65,7.13,29.29,0
13:47:29,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.9000244,0.0,109.2,0.8,0.0,0.0,907,127,0,0,855.72,7.14,29.28,0
13:47:30,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.9000244,0.0,120.6,0.8,0.0,0.0,908,128,0,0,855.77,7.16,29.32,0
13:47:31,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.9000244,0.0,34.8,0.8,0.0,0.0,907,128,0,0,855.68,7.19,29.31,0
13:47:32,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.9000244,0.0,20.8,0.8,0.0,0.0,907,129,0,0,855.74,7.19,29.35,0
13:47:33,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.9000244,0.0,313.0,0.8,0.0,0.0,907,128,0,0,855.72,7.19,29.35,0
13:47:34,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062920,-110.7923584,1333.9000244,0.0,30.6,0.8,0.0,0.0,907,128,0,0,855.70,7.16,29.34,0
13:47:35,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062958,-110.7923584,1334.0000000,0.0,32.7,0.8,0.0,0.0,907,127,0,0,855.61,7.17,29.34,0
13:47:36,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062958,-110.7923584,1334.0000000,0.0,3.8,0.8,0.0,0.0,907,125,0,0,855.61,7.17,29.33,0
13:47:37,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4062958,-110.7923584,1334.0000000,0.0,187.1,0.8,0.0,0.0,907,130,0,0,855.58,7.19,29.33,0
