Time, Motor A Speed, Motor A Dir, Motor B Speed, Motor B Dir, Servo Rail Current Sensor, Servo Pos - Arm L, Servo Pos - Arm R, Servo Pos - End, Servo Pos - Hopper, Servo Pos - Lid, Servo Pos - Extra, Servo Current, LED - Front L, LED - Front R, LED - Back L, LED - Back R, IMU Pitch, IMU Roll, IMU Yaw, Compass Heading, GPS Sats, GPS Latitude, GPS Longitude, GPS Altitude, GPS Speed, GPS Angle, GPS HDOP, GPS VDOP, GPS PDOP, Battery, Comm Xbee Latency, Comm Arduino Latency, Pressure, Humidity, Temperature, uRADMonitor
9:57:52,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,11.00,38.4065628,-110.7857513,1371.9000244,2.8,138.6,0.8,0.0,0.0,902,0,0,859.17,31.17,22.89,0
9:57:53,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,11.00,38.4065514,-110.7857437,1371.9000244,3.5,140.5,0.8,0.0,0.0,902,0,0,859.13,25.82,23.00,0
9:57:54,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,11.00,38.4065399,-110.7857285,1371.9000244,2.4,142.2,0.8,0.0,0.0,902,0,0,859.01,28.08,23.01,0
9:57:55,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4065285,-110.7857132,1371.8000488,2.9,145.2,0.8,0.0,0.0,902,0,0,858.89,24.08,23.07,0
9:57:56,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,11.00,38.4065170,-110.7857056,1371.6999512,2.7,145.4,0.8,0.0,0.0,902,0,0,858.99,20.28,23.13,0
9:57:57,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,11.00,38.4065056,-110.7857056,1371.5999756,2.4,154.1,0.8,0.0,0.0,901,0,0,858.69,19.78,23.14,0
9:57:58,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4064941,-110.7856903,1371.5000000,2.6,164.6,0.8,0.0,0.0,901,0,0,859.65,17.69,23.05,0
9:57:59,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,11.00,38.4064827,-110.7856903,1371.4000244,2.5,181.5,0.8,0.0,0.0,902,0,0,857.39,16.02,22.96,0
9:58:00,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4064713,-110.7856903,1371.3000488,2.6,193.8,0.9,0.0,0.0,902,0,0,857.48,15.46,22.87,0
9:58:01,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4064560,-110.7857056,1371.3000488,2.4,210.5,0.9,0.0,0.0,902,0,0,858.14,15.27,22.80,0
9:58:02,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,10.00,38.4064484,-110.7857056,1371.3000488,2.5,205.6,0.9,0.0,0.0,902,0,0,857.00,15.37,22.71,0
